Header,Column1,Match Match,Red Alliance Red Alliance Blue Alliance,Red Alliance Red Alliance Blue Alliance2,Red Alliance Red Alliance Blue Alliance3,Red Alliance Red Alliance Blue Alliance4,Red Alliance Red Alliance Blue Alliance5,Red Alliance Red Alliance Blue Alliance6,Blue Alliance Red Alliance Blue Alliance,Blue Alliance Red Alliance Blue Alliance2,Blue Alliance Red Alliance Blue Alliance3,Blue Alliance Red Alliance Blue Alliance4,Blue Alliance Red Alliance Blue Alliance5,Blue Alliance Red Alliance Blue Alliance6,Scores Red Score Blue Score,Scores Red Score Blue Score2
Qualifications,,Quals 47,4010,4010,4635,4635,3354,3354,6694,6694,3794,3794,5696,5696,65,11
Qualifications,,Quals 47,4010,4010,4010,4010,4635,4635,4635,4635,3354,3354,3354,3354,65,65
Qualifications,,Quals 47,6694,6694,6694,6694,3794,3794,3794,3794,5696,5696,5696,5696,11,11
Qualifications,,Quals 48,6017,6017,7725,7725,6832,6832,5959,5959,5932,5932,8244,8244,18,12
Qualifications,,Quals 48,6017,6017,6017,6017,7725,7725,7725,7725,6832,6832,6832,6832,18,18
Qualifications,,Quals 48,5959,5959,5959,5959,5932,5932,5932,5932,8244,8244,8244,8244,12,12
Qualifications,,Quals 49,8740,8740,5716,5716,6702,6702,8741,8741,5887,5887,4782,4782,18,10
Qualifications,,Quals 49,8740,8740,8740,8740,5716,5716,5716,5716,6702,6702,6702,6702,18,18
Qualifications,,Quals 49,8741,8741,8741,8741,5887,5887,5887,5887,4782,4782,4782,4782,10,10
Qualifications,,Quals 50,4775,4775,3472,3472,4723,4723,8776,8776,6676,6676,3478,3478,18,10
Qualifications,,Quals 50,4775,4775,4775,4775,3472,3472,3472,3472,4723,4723,4723,4723,18,18
Qualifications,,Quals 50,8776,8776,8776,8776,6676,6676,6676,6676,3478,3478,3478,3478,10,10
Qualifications,,Quals 51,4371,4371,4010,4010,3794,3794,3933,3933,6647,6647,3510,3510,29,28
Qualifications,,Quals 51,4371,4371,4371,4371,4010,4010,4010,4010,3794,3794,3794,3794,29,29
Qualifications,,Quals 51,3933,3933,3933,3933,6647,6647,6647,6647,3510,3510,3510,3510,28,28
Qualifications,,Quals 52,5133,5133,5696,5696,4635,4635,6348,6348,8734,8734,6106,6106,59,33
Qualifications,,Quals 52,5133,5133,5133,5133,5696,5696,5696,5696,4635,4635,4635,4635,59,59
Qualifications,,Quals 52,6348,6348,6348,6348,8734,8734,8734,8734,6106,6106,6106,6106,33,33
Qualifications,,Quals 53,5948,5948,6606,6606,8293,8293,4731,4731,6170,6170,7421,7421,7,36
Qualifications,,Quals 53,5948,5948,5948,5948,6606,6606,6606,6606,8293,8293,8293,8293,7,7
Qualifications,,Quals 53,4731,4731,4731,4731,6170,6170,6170,6170,7421,7421,7421,7421,36,36
Qualifications,,Quals 54,2283,2283,3478,3478,6694,6694,4403,4403,8740,8740,6017,6017,41,6
Qualifications,,Quals 54,2283,2283,2283,2283,3478,3478,3478,3478,6694,6694,6694,6694,41,41
Qualifications,,Quals 54,4403,4403,4403,4403,8740,8740,8740,8740,6017,6017,6017,6017,6,6
Qualifications,,Quals 55,4723,4723,5959,5959,4782,4782,4371,4371,3933,3933,5887,5887,31,27
Qualifications,,Quals 55,4723,4723,4723,4723,5959,5959,5959,5959,4782,4782,4782,4782,31,31
Qualifications,,Quals 55,4371,4371,4371,4371,3933,3933,3933,3933,5887,5887,5887,5887,27,27
Qualifications,,Quals 56,7725,7725,3472,3472,6676,6676,6647,6647,5716,5716,3354,3354,6,32
Qualifications,,Quals 56,7725,7725,7725,7725,3472,3472,3472,3472,6676,6676,6676,6676,6,6
Qualifications,,Quals 56,6647,6647,6647,6647,5716,5716,5716,5716,3354,3354,3354,3354,32,32
Qualifications,,Quals 57,6606,6606,8741,8741,4635,4635,8734,8734,5133,5133,5948,5948,67,16
Qualifications,,Quals 57,6606,6606,6606,6606,8741,8741,8741,8741,4635,4635,4635,4635,67,67
Qualifications,,Quals 57,8734,8734,8734,8734,5133,5133,5133,5133,5948,5948,5948,5948,16,16
Qualifications,,Quals 58,5932,5932,7421,7421,4403,4403,4010,4010,6702,6702,8244,8244,30,18
Qualifications,,Quals 58,5932,5932,5932,5932,7421,7421,7421,7421,4403,4403,4403,4403,30,30
